Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Wok Monk," 117, 2nd Floor, Ravilla Towers, 3rd Avenue, W Block, Anna Nagar West, Chennai",Anna Nagar West,"['Asian', ' Chinese', ' Middle Eastern']","['Dumplings', ' Chocolate Tsunami', ' Pizza', ' Momos', ' Mushroom Satay', ' Chicken Pad Thai', ' Tom Yum Soup']",1200.0,4.6,459,3.9,659,"['Home Delivery', 'Indoor Seating']"
Broken Bridge Cafe," 94, Sathyadev Avenue, MRC Nagar, Chennai",Somerset Greenways,"['Cafe', ' North Indian', ' Malwani']","['Tiramisu', ' Filtered Coffee', ' Pizza', ' Curd Rice', ' Chicken Wings', ' Crab Cake', ' Fritters']",1200.0,4.3,444,3.9,29,"['Breakfast', 'Home Delivery', 'Full Bar Available', 'Indoor Seating', 'Buffet', 'Valet Parking Available', 'Table booking recommended']"
Firdouse," 307, Triplicane High Road, Triplicane, Chennai",Triplicane,"['North Indian', ' Mughlai', ' Chinese', ' Chettinad']","['Shawarma', ' Biryani', ' Chicken Grill', ' Bbq Chicken', ' Fried Rice', ' Barbeque Chicken', ' Tomato Rice']",800.0,3.7,528,4.5,5228,"['Home Delivery', 'Wifi', 'Indoor Seating']"
Indiska Magic," 8, Harrington Road, Chetpet, Chennai",Chetpet,"['North Indian', ' Street Food', ' Fast Food', ' Beverages']","['Chaat', ' Baklava', ' Panipuri', ' Sizzler Pav Bhaji', ' Rasmalai', ' Paratha', ' Badam Milk']",400.0,4.2,291,4.1,645,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Anjappar," 1/460, Ambal Nagar, Lyapangathalam, Opposite Ramchandra University, Porur, Chennai",Porur,"['Chettinad', ' North Indian', ' Chinese', ' Seafood', ' Biryani']","['Biryani', ' Fish Finger', ' Chicken 65', ' Butter Naan', ' Pepper Chicken', ' Paratha', ' Faluda']",700.0,3.4,324,3.9,1240,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Ilapuram Biryani," 57/151, Trunk Road, Near Gopala Krishna Threatre, Porur, Chennai",Porur,"['Biryani', ' North Indian', ' Andhra', ' Chinese']","['Bread Halwa', ' Paan Ice Cream', ' Bread Pudding', ' Chicken Pot Biryani', ' Chicken 65', ' Noodle', ' Brinjal Curry']",700.0,3.7,459,2.8,3640,"['Home Delivery', 'Indoor Seating', 'Wifi']"
The Potroast," 5, Maxworth Nagar, Phase 2, Opposite Ponvidhyashram School, Kolapakkam, Porur, Chennai",Porur,"['Chettinad', ' Kerala', ' North Indian', ' Fast Food']","['Dragon Chicken', ' Egg Fried Rice', ' Chicken 65', ' Chicken Curry', ' Chicken Grill', ' Tandoori Chicken']",600.0,3.3,459,2.7,6070,"['Home Delivery', 'Indoor Seating']"
Top Notch," 52, 13th Main Road, Anna Nagar East, Chennai",Anna Nagar East,"['North Indian', ' Chinese', ' Continental']","['Naan', ' Roti', ' Hyderabadi Biryani', ' Chicken Grill', ' Pepper Chicken', ' Dragon Chicken', ' Fried Rice Chicken']",1300.0,4.1,566,3.7,7294,"['Home Delivery', 'Live Sports Screening', 'Table booking recommended', 'Indoor Seating']"
Savya Rasa," 2/10, Gandhi Mandapam Road, Kotturpuram, Chennai",Kotturpuram,"['Chettinad', ' Andhra', ' Kerala', ' Mangalorean', ' South Indian']","['Elaneer Payasam', ' Paratha', ' Thali', ' Appam', ' Vada', ' Mutton Biryani', ' Vasantha Neer']",1600.0,4.4,443,3.9,132,"['Home Delivery', 'Table booking recommended', 'Free Parking', 'Indoor Seating']"
Winterfell," 4/2, Anand Garden, 100 Feet Bypass Road, Near Murugan Kalyana Mandabam, Velachery, Chennai",Velachery,"['Desserts', ' Beverages']","['Chocolate Sundae', ' Mango Ice Cream', ' Chocolate Shake', ' Waffles', ' Peri Fries', ' Nutella Brownie', ' Coffee']",400.0,4.2,391,3.9,215,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Bombaysthan," Old 22/1, New 49/1, Smrithi, Ground Floor, 1st Avenue, Indira Nagar, Adyar, Chennai",Adyar,"['Fast Food', ' Sandwich', ' Rolls', ' Desserts', ' Juices', ' Beverages']","['Sandwich', ' Faluda', ' Pizza', ' Fruit Cream', ' Fries', ' Cream Mango', ' Potato Wedges']",450.0,4.1,441,4.2,3101,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']"
Underbelly," 20, 2nd Avenue, Near Nilgris Supermarket, Anna Nagar West, Chennai",Anna Nagar West,"['Continental', ' American', ' Beverages', ' Italian', ' Steak', ' Asian']","['Pasta', ' Pizza', ' Burgers', ' Mojito', ' Tiramisu', ' Coffee', ' Chocolate Salami']",1000.0,4.1,430,3.7,379,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
196 Degree Below," 14, Ananda Road, Alwarpet, Chennai",Alwarpet,"['Beverages', ' Desserts', ' Ice Cream']","['Waffles', ' Thick Shakes', ' Pizza', ' Brownie', ' Rose Milk', ' Strawberry Mojito', ' Nitrogen Ice Cream']",450.0,4.0,438,4.0,107,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Outdoor Seating', 'Desserts and Bakes']"
Zing Wing Restaurant," 24, 1st Floor, MG Road, Pattabiram, Opposite T9 Police Station, Near Avadi, Chennai",Avadi,['Chinese'],"['Hot Wings', ' Burgers', ' Chicken Lollipop', ' Manchurian']",350.0,4.0,350,4.1,3712,"['Home Delivery', 'Indoor Seating']"
Nammaa Kitchen," 57A, 100 Feet Road, Opposite Indian Overseas Bank, Taramani, Chennai",Taramani,"['Biryani', ' South Indian', ' North Indian', ' Chinese', ' Arabian']","['Chicken Majestic', ' Mutton Biryani', ' Hyderabadi Biryani', ' Chicken Grill', ' Manchurian', ' Chicken 65', ' Tandoori Chicken']",600.0,4.2,450,3.8,5693,"['Home Delivery', 'Indoor Seating']"
Kaaraikudi," 34, 1st Avenue, Sendhan Towers, Ashok Nagar, Chennai",Ashok Nagar,"['Chettinad', ' South Indian', ' North Indian', ' Biryani']","['Appam', ' Carrot Halwa', ' Biryani', ' Murgh Malai', ' Idiyappam', ' Vegetarian', ' Fish Curry']",700.0,4.0,429,4.1,2725,"['Home Delivery', 'Valet Parking Available', 'Table booking recommended', 'Indoor Seating']"
Cafe Society," Duraisamy Nagar, East Tambaram, Tambaram, Chennai",Tambaram,"['Cafe', ' Fast Food', ' Beverages']","['Pasta', ' Pizza', ' Fries', ' Brownie', ' Chicken Burger', ' Chicken Club Sandwiches', ' Garlic Bread']",500.0,3.8,377,3.6,2903,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']"
Shakos," 9, Shyams Garden, Khader Nawaz Khan Road, Nungambakkam, Chennai",Nungambakkam,"['Beverages', ' Desserts', ' Fast Food']","['Waffles', ' Thick Shakes', ' French Fries', ' Coffee Hazelnut', ' Nutella Brownie', ' Tandoori Fries', ' Death By Chocolate']",600.0,4.3,339,4.1,4449,"['Home Delivery', 'Free Parking', 'Desserts and Bakes', 'Indoor Seating']"
Spice Trail," 10, Montieth Road, Egmore, Chennai",Egmore,"['North Indian', ' Andhra']","['Chicken 65', ' Mutton Biryani', ' Mutton Chukka', ' Fry Prawns', ' Paratha', ' Brownie', ' Chicken Curry']",450.0,4.0,412,3.7,2861,"['Home Delivery', 'Valet Parking Available', 'Table reservation required', 'Indoor Seating']"
Parfait Cakes And Bakes," 9, CSI Church Gate Road, Annai Indira Nagar, Velachery, Chennai",Velachery,"['Bakery', ' Continental', ' Fast Food', ' Desserts']","['Pasta', ' Salads', ' Sandwiches', ' Fries', ' Pizza', ' Iced Tea', ' Omelette']",600.0,4.1,402,3.9,1234,"['Breakfast', 'Home Delivery', 'Outdoor Seating', 'Desserts and Bakes', 'Indoor Seating']"
Carnival Food And Entertainment Zone," 388/10A, Sunambu Kolathur, Pallavaram - Thoraipakkam, 200 Feet Radial Road, Pallikaranai, Chennai",Pallikaranai,"['North Indian', ' South Indian', ' Chinese', ' Chettinad']","['Elaneer Payasam', ' Biryani', ' Tender Coconut Payasam', ' Fried Rice', ' Prawn Gravy', ' Sweet Pongal', ' Mutton Soup']",700.0,3.9,519,3.9,3571,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Kid Friendly', 'Indoor Seating']"
Coffeetales," 7, 7th Cross Street, Near Thiru Vee Ka Park, Anna Nagar East, Chennai",Anna Nagar East,"['Cafe', ' Fast Food']","['Coffee', ' Sandwich', ' Latte', ' Kit Kat Shake', ' Spring Roll', ' Mushroom Masala Maggi', ' Iced Tea']",500.0,4.1,410,4.1,164,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Smoking Area']"
Chai Kings," 995A, 2nd Avenue, Opposite Santosh Super Stores, Anna Nagar East, Chennai",Anna Nagar East,"['Tea', ' Fast Food', ' Beverages']","['Chai', ' Tea', ' Samosa', ' Maggi', ' Brownie', ' Hot Chocolate', ' Egg Puff']",200.0,4.1,319,4.0,3880,"['Breakfast', 'Home Delivery', 'Desserts and Bakes', 'Indoor Seating', 'All Day Breakfast']"
Santrupti Vegeterian," 32/1A, 4B, 3rd Floor, Opposite MIOT International Hospital, Mount Poonamalee Road, Ramapuram, Chennai",Ramapuram,"['North Indian', ' Mughlai', ' Biryani', ' Desserts', ' Beverages']","['Dhokla', ' Thali', ' Lassi', ' Gajar Ka Halwa', ' Roti', ' Naan', ' Dum Biryani']",1000.0,4.1,320,3.8,1118,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Table booking recommended', 'Indoor Seating', 'Private Dining Area Available']"
The Barbarian Turf," 66, Pillayar Koil Street, Potheri, Chennai",Potheri,"['North Indian', ' Chinese', ' Italian', ' Rolls', ' Burger']","['Burgers', ' Pizza', ' Mojito', ' Sour Soup', ' Butter Naan', ' Fried Rice Chicken', ' Chop Suey']",700.0,2.8,586,3.7,18300,"['Home Delivery', 'Rooftop', 'All Day Breakfast', 'Indoor Seating', 'Buffet']"
Signal Tod Cafe," OMR Food Street,  Guduvanchery, GST Road, Chennai","OMR Food Street, Guduvancheri",['Fast Food'],"['Sandwich', ' Vada Pav', ' Burgers', ' Fried Cheese', ' Veg Cheese Burger', ' Aloo Tikki', ' French Fries']",250.0,4.3,445,3.9,4619,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Guest Hotel," 803/330, Poonamallee High Road, Kilpauk, Chennai",Kilpauk,"['South Indian', ' North Indian', ' Chinese']","['Filtered Coffee', ' Pongal', ' Tea', ' Chaat', ' Plain Dosa', ' Veg Manchurian', ' Thali']",400.0,4.0,266,4.0,9025,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Catering Available']"
Nawab's Dine," 64,  SRM Back Gate, Pillaiyar Kovil Street, Potheri,  Chennai",Potheri,"['North Indian', ' Chinese', ' Biryani']","['Hyderabadi Biryani', ' Chicken Biryani', ' Chicken 65', ' Mutton Biryani', ' Naan', ' Raita', ' Basmati Rice']",500.0,4.3,578,4.0,4593,"['Home Delivery', 'Indoor Seating', 'Rooftop']"
Ramzan Mehal Briyani," 99/1, New Avadi Road, Kilpauk, Chennai",Kilpauk,"['Biryani', ' Mughlai', ' Arabian']",['Biryani'],300.0,3.6,450,3.6,10900,"['Home Delivery', 'Indoor Seating']"
Arcot Biriyani," 28, Kundrathur Main Road, Porur, Chennai",Porur,['Biryani'],"['Chicken 65', ' Mutton Biryani', ' Chicken Biryani', ' Basmati Rice']",250.0,4.0,254,3.5,4175,"['Home Delivery', 'Indoor Seating', 'Catering Available']"
Drunken Monkey," 131, Ground Floor, Sterling Road, Nungambakkam, Chennai",Nungambakkam,"['Beverages', ' Fast Food']","['Cottage Cheese Sandwich', ' Fries', ' Caramel Shake', ' Red Velvet Shake', ' Chocolate Nutella', ' Nutella Brownie Shake', ' Irish Cream Coffee']",400.0,4.1,447,4.4,3133,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Al Souk," 31, Cochin House, Anderson Road, Nungambakkam, Chennai",Nungambakkam,"['Arabian', ' Lebanese', ' Middle Eastern', ' Egyptian', ' Turkish', ' Moroccan', ' Mediterranean']","['Baklava', ' Pita Bread', ' Hot Mezze Platter', ' Shawarma', ' Chicken Shawarama', ' Kunafa', ' Chicken Kapsa']",750.0,4.1,244,4.1,147,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Hotel Delma," Vanniyar Mettu Street, Mount Poonamallee Trunk Road, Iyyapanthangal, Porur, Chennai",Porur,"['Arabian', ' North Indian', ' Chinese', ' Seafood', ' Biryani', ' Juices']","['Biryani', ' Chicken Grill', ' Shawarma', ' Noodle', ' Barbeque Chicken']",900.0,3.3,347,3.8,3801,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Ambur Star Biryani," 28, 5th Street, Tansi Nagar, Velachery, Chennai",Velachery,"['South Indian', ' Biryani']","['Bread Halwa', ' Chicken Biryani', ' Mutton Biryani', ' Chicken 65', ' Chicken Lollipop', ' Chicken Grill', ' Ambur Biryani']",600.0,3.8,343,4.1,2587,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']"
Sachin Ka Dhabba," 5/336, OMR, Thuraipakkam, Chennai",Thuraipakkam,"['North Indian', ' Chinese']","['Lassi', ' Butter Chicken', ' Tandoori Chicken', ' Paratha', ' Butter Naan', ' Noodle', ' Masala Papad']",500.0,2.1,462,3.8,1255,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Table reservation required', 'Buffet']"
Grill House," 24/47, Josier Street, Near Palmgrove Hotel, Nungambakkam, Chennai",Nungambakkam,"['North Indian', ' Chinese', ' Mughlai']","['Chicken Grill', ' Shawarma Roll', ' Chicken Shawarama', ' Mexican Shawarma', ' Mutton Dum Biryani']",850.0,3.7,247,4.0,4642,"['Home Delivery', 'Indoor Seating', 'Buffet']"
The Coffee Bean & Tea Leaf," 1st Floor, Phoenix Market City, Velachery Main Road, Velachery, Chennai","Phoenix Market City, Velachery","['Cafe', ' Desserts']","['Coffee', ' Cheesecake', ' Sandwich', ' Tea', ' Hot Chocolate', ' Chocolate Pie', ' Pasta']",700.0,4.0,385,3.9,80,"['Home Delivery', 'Mall Parking', 'Wifi', 'Indoor Seating', 'Desserts and Bakes']"
Kebab@Lake Street," 364, TNHB Main Road, Maruthapandiyar Salai, Ganapathy Nagar, Velachery, Chennai",Velachery,"['Kebab', ' Mughlai', ' Chinese', ' Biryani']",Invalid,500.0,4.0,266,3.8,10300,"['Home Delivery', 'Catering Available', 'Free Parking', 'Indoor Seating']"
Brunchies All Day," 170, 2 Avenue, Near 12th Main Road, Anna Nagar West, Chennai",Anna Nagar West,"['Continental', ' Chinese', ' Fast Food', ' Italian']","['Waffles', ' Pasta', ' Pizza', ' Crepe', ' Fries', ' Pancakes', ' Noodle']",800.0,4.0,382,3.9,1836,"['Home Delivery', 'Free Parking', 'Kid Friendly', 'Indoor Seating', 'Wifi', 'Brunch', 'Desserts and Bakes']"
Anu's Punjabi Dhaba," 271, Avvai Shanmugam Salai, Llyods Road, Gopalapuram, Chennai",Gopalapuram,"['North Indian', ' Chinese']","['Paneer Tikka', ' Naan', ' Dragon Chicken', ' Tandoori Chicken', ' Rabri', ' Dal Makhani', ' Kulcha']",800.0,4.1,277,4.3,2140,"['Home Delivery', 'Indoor Seating']"
Tosai Club," Plot 153, Chandrasekaran Avenue Main Road, Okkiyam, Thuraipakkam, Chennai",Thuraipakkam,"['South Indian', ' North Indian', ' Italian', ' Continental', ' Mughlai']","['Carrot Halwa', ' Nachos', ' Corn Soup', ' Pasta', ' Elaneer Payasam', ' Brownie', ' Veg Platter']",600.0,4.1,365,3.7,4055,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Idlies," 17, 18th Avenue, Ashok Nagar, Chennai",Ashok Nagar,['South Indian'],"['Curd Rice', ' Buttermilk', ' Idli', ' Pongal', ' Podi Dosa', ' Upma', ' Vatha Kuzhambu']",250.0,4.3,281,3.9,1370,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Hotel Beach House," 48, Pillaiyar Koil Street, Potheri, Chennai",Potheri,"['North Indian', ' Chinese', ' Beverages']","['Chicken Shawarama', ' Shawarma', ' Rolls', ' Fried Rice', ' Tandoori Chicken', ' Butter Chicken', ' Naan']",500.0,3.4,548,4.0,11200,"['Home Delivery', 'Indoor Seating']"
Munveedu," 34/72A, 4th Main Road, Gandhi Nagar, Adyar, Chennai",Adyar,"['South Indian', ' Chettinad', ' North Indian']","['Elaneer Payasam', ' Appam', ' Chicken Biryani', ' Zameen Virundhu', ' Chicken Sukha', ' Mutton Sukha', ' Tandoori Chicken']",550.0,3.9,380,3.9,67,"['Home Delivery', 'Indoor Seating']"
Old Madras Baking Company," 279, TTK Road, Alwarpet, Chennai",Alwarpet,"['Bakery', ' Fast Food', ' Sandwich', ' Desserts']","['Croissant', ' Sandwich', ' Bagel', ' Carrot Cake', ' Banana Bread', ' Donut', ' Chocolate Muffin']",250.0,4.3,343,4.4,298,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes']"
Hot Chips," 4/799, Velachery Main Road, Medavakkam, Chennai",Medavakkam,"['Street Food', ' North Indian', ' Chinese']","['Coffee', ' Chips', ' Panneer Butter Masala', ' Curd Rice', ' Vada', ' Masala Dosa']",400.0,3.7,243,3.7,10800,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required']"
Hotel Kalyana Bhavan Biriyani," 139/140, Marshalls Road, Near Government Eye Hospital, Egmore, Chennai",Egmore,['Biryani'],"['Chicken 65', ' Mutton Biryani', ' Raita', ' Chicken Biryani']",300.0,3.9,413,4.0,1861,"['Home Delivery', 'Indoor Seating']"
Mansukh Sweets & Snacks," 7th Avenue, Ashok Nagar, Chennai",Ashok Nagar,"['Street Food', ' Beverages', ' Mithai', ' Chinese', ' North Indian']","['Paratha', ' Chaat', ' Thali', ' Panneer Butter Masala', ' Vada Pav', ' Jalebi', ' Naan']",400.0,3.7,307,4.1,3527,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Desserts and Bakes']"
Atte - Glocal Cafe," 53/17, Besant Nagar, Chennai",Besant Nagar,"['Cafe', ' Beverages', ' Fast Food']","['Maggi', ' Fries', ' Dark Chocolate Shake', ' Fried Cheese', ' Chicken Sandwich', ' White Sauce Pasta', ' Bread Omelette']",400.0,4.1,372,3.8,53,"['Home Delivery', 'Board Games', 'Free Wifi', 'Smoking Area', 'Indoor Seating', 'Kid Friendly', 'Pet Friendly', 'Wifi']"
The Hideout Bistro," 101, D Block, 6th Street, Anna Nagar East, Chennai",Anna Nagar East,"['Italian', ' Continental', ' Asian', ' Fast Food', ' Pizza']","['Pasta', ' Nachos', ' Burgers', ' Pancakes', ' Pizza', ' Sandwich', ' Coffee']",900.0,4.1,369,3.8,435,"['Home Delivery', 'Outdoor Seating', 'Table booking recommended', 'Indoor Seating']"
Cafe 23," 72, Shanthi Colony Main Road, 4th Avenue, Anna Nagar East, Chennai",Anna Nagar East,"['Continental', ' American', ' Italian', ' Cafe']","['Burgers', ' Nachos', ' Fries', ' Pasta', ' Pizza', ' Chicken Wings', ' Wedges']",600.0,3.9,369,3.4,572,"['Home Delivery', 'Indoor Seating', 'Outdoor Seating', 'Valet Parking Available', 'Table reservation required', 'Smoking Area']"
Cafe H," 42/1, Shanthi Nikethane Colony, Anna Nagar West, Chennai",Anna Nagar West,['Cafe'],"['Pasta', ' Pizza', ' Burgers', ' Sandwich', ' Brownie', ' Tiramisu', ' Tea']",500.0,4.1,363,3.9,4083,"['Home Delivery', 'Indoor Seating']"
Chaa," 1, 1st Street, Thiruvenkadam Nagar, Kandanchavadi, Perungudi, Chennai",Perungudi,"['Fast Food', ' Street Food']","['Paratha', ' Vada Pav', ' Cheese Corn Balls', ' Chaat', ' Tea', ' Dhokla', ' Panipuri']",200.0,4.0,357,3.6,2570,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Tea Villa Cafe," Old 52/2, New 40/2, Thirumalai Pillai Road, T. Nagar, Chennai",T. Nagar,"['Continental', ' Tea', ' Italian', ' Desserts']","['Waffles', ' Tea', ' Churros', ' Pizza', ' Hummus Platter', ' Noodle', ' Pasta']",1000.0,4.2,322,3.9,33,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Table booking recommended', 'Vegan Options', 'All Day Breakfast', 'Indoor Seating', 'Available for Functions', 'Catering Available', 'Desserts and Bakes']"
National Lodge," 112, Govindappa Naickan Street, Sowcarpet, Chennai",Sowcarpet,"['Andhra', ' South Indian']","['Paruppu Podi', ' Thali', ' Vada']",300.0,4.2,520,3.8,586,"['Home Delivery', 'Indoor Seating']"
Urban Desi House," 1/343, 1st Main Road, Sri Sai Nagar, 200 Feet Road,  Thuraipakkam, Chennai",Thuraipakkam,['Cafe'],"['Paratha', ' Burrito', ' Tea', ' Noodle', ' Cutting Chai', ' Chole Bhature', ' Vada Pav']",350.0,4.0,361,3.7,1152,"['Breakfast', 'Home Delivery', 'Outdoor Seating', 'Table reservation required', 'Indoor Seating', 'Smoking Area']"
Urban Lounge," Hotel Centre Point, 286, Sholinganallur, Chennai","Hotel Centre Point, Sholinganallur",['Finger Food'],"['Cocktails', ' Tikka']",1500.0,4.2,511,3.6,57,"['Home Delivery', 'Full Bar Available', 'Free Parking', 'Smoking Area', 'Table booking recommended', 'Live Sports Screening', 'Indoor Seating', 'Dance Floor', 'Nightlife']"
London Grill N Shake," Near Sipcot Toll Gate, Egatoor, Chennai",Egatoor,"['Arabian', ' North Indian', ' Chinese']","['Chicken Grill', ' Fried Rice', ' Shawarma', ' Biryani', ' Crab Lollypop', ' Tandoori Chicken', ' Butterfly Prawn']",600.0,3.9,433,3.9,6634,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Arabian Rooster," 18, Mariamman Koil Street, Near Vembuli Amman Temple, K.K. Nagar, Chennai",K.K. Nagar,"['Chinese', ' North Indian']","['Shawarma', ' Panneer Butter Masala', ' Dragon Chicken', ' Tandoori Chicken', ' Fried Rice Chicken', ' Butter Chicken', ' Butter Naan']",400.0,3.9,480,3.9,5958,"['Home Delivery', 'Indoor Seating', 'Free Parking']"
Madurai Nachiar," 19, Vandikaran Street, Velachery, Chennai",Velachery,"['South Indian', ' Biryani', ' Chinese']","['Fried Rice Chicken', ' Chilli Chicken', ' Biryani', ' Egg Fried Rice', ' Fish Fry']",350.0,3.6,542,3.4,12700,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Mathura Restaurant," 826, 2nd Floor, Tarapore Towers, Anna Salai, Triplicane, Chennai",Triplicane,"['North Indian', ' Chinese', ' South Indian']","['Tomato Soup', ' Corn Augratin', ' Spaghetti', ' Thali', ' Mango Lassi', ' Paratha', ' Masala Kulcha']",500.0,4.2,382,4.2,467,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Catering Available']"
Sher E Punjab," 203, MGR Road, Kandanchavadi, Perungudi, Chennai",Perungudi,"['North Indian', ' Chinese', ' Mughlai']","['Lassi', ' Buttermilk', ' Butter Chicken', ' Garlic Naan', ' Tandoori Chicken', ' Panneer Butter Masala', ' Paratha']",400.0,3.9,348,4.3,764,"['Home Delivery', 'Outdoor Seating', 'Table Reservation Not Required']"
Al Beck," 1, M.T.H Road, Opposite TVS Lucas, Padi, Near Ambattur, Chennai",Ambattur,"['Seafood', ' Biryani', ' North Indian', ' Chinese', ' Arabian', ' Mughlai']","['Shawarma', ' Chicken Grill', ' Barbeque Chicken', ' Fish Finger', ' Mutton Biryani', ' Butter Naan', ' Prawn']",800.0,4.1,383,4.1,2397,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Table Reservation Not Required']"
Shubh," 12/1&2, Old 52/1&2, Tank Bund Road, Nungambakkam, Chennai",Nungambakkam,"['North Indian', ' Fast Food', ' Street Food', ' Mithai', ' Beverages']","['Panipuri', ' Chaat', ' Rasmalai', ' Jalebi', ' Chole Bhature', ' Badam Milk', ' Lassi']",450.0,4.0,271,4.2,2055,"['Home Delivery', 'Vegetarian Only', 'Outdoor Seating', 'Self Service', 'Desserts and Bakes']"
Al Shafin Multi Cuisine Restaurant," 109, OMR Road, Perungudi, Chennai",Perungudi,"['North Indian', ' Chinese', ' Mughlai']","['Shawarma', ' Biryani', ' Bbq Chicken', ' Barbeque Chicken', ' Tandoori Chicken', ' Butter Naan', ' Fish']",1000.0,4.0,421,4.2,5692,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']"
The Belgian Waffle Co.," 10/3, Khader Niwaz Khan Road, Nungambakkam, Chennai",Nungambakkam,"['Desserts', ' Beverages', ' Fast Food']","['Nutella Waffle', ' Belgium Chocolate', ' Chocolate Overload', ' Triple Chocolate', ' Belgian Chocolate Waffle', ' Cheesecake Waffles', ' Belgian Waffles']",300.0,4.1,370,4.0,1899,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Hot Kitchen," 258, Mudichur Road, Tambaram, Chennai",Tambaram,"['Chinese', ' North Indian', ' Chettinad']",Invalid,450.0,3.9,514,3.8,12800,"['Home Delivery', 'Indoor Seating']"
Shmoozie's Hand-Crafted Ice Creams," 3, Varadarajulu Street, Egmore, Chennai",Egmore,"['Ice Cream', ' Desserts']","['Salted Caramel', ' Brownie', ' Bannoffee Pie', ' Coffee', ' Masala Chai', ' Caramel Ice Cream', ' Mango Ice Cream']",400.0,4.5,322,4.3,324,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Desserts and Bakes', 'Outdoor Seating']"
Rotiwala," 14/32, 1st Avenue, Shastri Nagar, Adyar, Chennai",Adyar,"['North Indian', ' Street Food']","['Chaat', ' Paratha', ' Roti', ' Sweet Lassi', ' Panipuri', ' Samosa', ' Mushroom Masala']",250.0,3.9,376,3.5,2188,"['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']"
Dynasty," 315, Harrisons Hotel, Valluvar Kottam High Road, Nungambakkam, Chennai","Harrisons Hotel, Nungambakkam","['Chinese', ' Seafood']","['Momos', ' Golden Fried Prawns', ' Fried Rice Chicken', ' Beer', ' Vanilla Ice Cream', ' Fried Prawn', ' Chicken Momo']",1200.0,4.2,337,4.6,779,"['Home Delivery', 'Full Bar Available', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
Aneef Biryani," New 151, Old 62/1, Kodambakkam High Road, T. Nagar, Chennai",T. Nagar,"['Biryani', ' Chinese', ' North Indian', ' South Indian']","['Biryani', ' Raita', ' Chicken Lollipop', ' Brinjal Curry', ' Tandoori Chicken']",300.0,3.9,517,3.3,9239,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
The Little White Kitchen," 17A/ 29, Barnaby Road, Kilpauk, Chennai",Kilpauk,"['Mexican', ' North Indian']","['Burrito Bowl', ' Momos', ' Sugarcane Juice', ' Falafel', ' Pizza', ' Pasta', ' Masala Pav']",800.0,4.0,333,3.9,37,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
The Scoop Bar," New 87/1, Old 21/1, F Block, 2nd Main Road, Anna Nagar East, Chennai",Anna Nagar East,"['Desserts', ' Ice Cream']","['Waffles', ' Pancakes', ' Tender Coconut Ice Cream', ' Burgers', ' Ice Cream Roll', ' Nutella Waffle', ' Sandwich']",400.0,4.0,219,3.8,867,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
