Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Atho Spot," 3, Mount Poonamalle High Road, Adithi Colony, Sabari Nagar, Mugalivakkam, Ramapuram, Chennai",Ramapuram,"['Street Food', ' Burmese']",Invalid,150.0,2.5,29,3.7,521,"['Home Delivery', 'Outdoor Seating']"
XO Belgian Waffle," E1-A6, 92, OMR Food Street, Navallur, Chennai","OMR Food Street, Navallur","['Desserts', ' Beverages']",Invalid,500.0,3.5,32,4.2,427,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Gate Of Madras," 12A, Parsn Complex, Kodambakkam High Road, Nungambakkam, Chennai",Nungambakkam,"['BBQ', ' North Indian', ' Chinese']",Invalid,400.0,3.4,31,3.8,37,"['Home Delivery', 'Indoor Seating']"
Araffa Biryani," D 242, LIG II, TNHB Colony, 3rd Main Road, Velachery, Chennai",Velachery,"['South Indian', ' Chinese', ' Chettinad']",Invalid,400.0,3.5,35,3.8,3011,"['Home Delivery', 'Indoor Seating']"
Mingx Kittchenz," 63, Vaithyalingam Salai, 3rd Cross Street, Neelangarai, Chennai",Neelangarai,['South Indian'],Invalid,250.0,3.0,28,3.8,511,"['Home Delivery', 'Indoor Seating']"
J's Food Souk," 51, Sigaram Towers, Kuamran Colony, Vadapalani, Chennai",Vadapalani,"['South Indian', ' Beverages']",Invalid,200.0,2.8,31,3.3,673,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Thirukkural Unvagam," 5, Brodees Road, Near Government Girls School, Karayan Chavadi, Poonamalle, Chennai",Poonamalle,['South Indian'],Invalid,150.0,3.7,32,3.6,106,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
North Indian Food Express," 3/452 E, NIK Avenue, Rajiv Gandhi Salai, Mettukuppam, Thuraipakkam, Chennai",Thuraipakkam,['North Indian'],Invalid,300.0,3.5,42,3.6,3322,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
New Pamba Multicuisine Restaurant," Shop 1, Spurtank Road, Chetpet, Chennai",Chetpet,"['North Indian', ' South Indian', ' Chinese', ' Beverages']",Invalid,400.0,3.2,35,3.9,45,"['Home Delivery', 'Indoor Seating']"
Sriram Bhojanam," 700/5, Sabari Salai, Madipakkam, Chennai",Madipakkam,['South Indian'],Invalid,300.0,3.3,32,3.8,2442,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Raju Omlet," Shop 1, Plot 167/7A, Old Mahabalipuram Road, Karapakkam, Chennai",Karapakkam,"['Fast Food', ' North Indian', ' Beverages']",Invalid,300.0,3.7,21,3.7,51,"['Home Delivery', 'Outdoor Seating', 'Indoor Seating']"
Hotel Sri Vembu Bhavan," 7/929, TVS Avenue, Anna Nagar West, Chennai",Anna Nagar West,"['South Indian', ' Chinese', ' Juices']",Invalid,300.0,3.6,35,3.9,377,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
